input_file | variant | output_file | fitness | tools_passed | tools_run | ast_norm_distance
/driveD/codes_breaker_project/CA/CWE489_avoid_hardcoded_config_DEBUG.txt | VULN_5 | /driveD/codes_breaker_project/CA_sv/CWE489_avoid_hardcoded_config_DEBUG_sv5/CWE489_avoid_hardcoded_config_DEBUG_VULN_5.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE489_debug-enabled.txt | SAFE | /driveD/codes_breaker_project/CA_sv/CWE489_debug-enabled_sv5/CWE489_debug-enabled_SAFE.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE489_debug-enabled.txt | VULN_1 | /driveD/codes_breaker_project/CA_sv/CWE489_debug-enabled_sv5/CWE489_debug-enabled_VULN_1.txt | 0.6605 | 0 | 0 | 0.3395
/driveD/codes_breaker_project/CA/CWE489_debug-enabled.txt | VULN_2 | /driveD/codes_breaker_project/CA_sv/CWE489_debug-enabled_sv5/CWE489_debug-enabled_VULN_2.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE489_debug-enabled.txt | VULN_3 | /driveD/codes_breaker_project/CA_sv/CWE489_debug-enabled_sv5/CWE489_debug-enabled_VULN_3.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE489_debug-enabled.txt | VULN_4 | /driveD/codes_breaker_project/CA_sv/CWE489_debug-enabled_sv5/CWE489_debug-enabled_VULN_4.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE489_debug-enabled.txt | VULN_5 | /driveD/codes_breaker_project/CA_sv/CWE489_debug-enabled_sv5/CWE489_debug-enabled_VULN_5.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE614_pyramid-set-cookie-secure-unsafe-value.txt | SAFE | /driveD/codes_breaker_project/CA_sv/CWE614_pyramid-set-cookie-secure-unsafe-value_sv5/CWE614_pyramid-set-cookie-secure-unsafe-value_SAFE.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE614_pyramid-set-cookie-secure-unsafe-value.txt | VULN_1 | /driveD/codes_breaker_project/CA_sv/CWE614_pyramid-set-cookie-secure-unsafe-value_sv5/CWE614_pyramid-set-cookie-secure-unsafe-value_VULN_1.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE614_pyramid-set-cookie-secure-unsafe-value.txt | VULN_2 | /driveD/codes_breaker_project/CA_sv/CWE614_pyramid-set-cookie-secure-unsafe-value_sv5/CWE614_pyramid-set-cookie-secure-unsafe-value_VULN_2.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE614_pyramid-set-cookie-secure-unsafe-value.txt | VULN_3 | /driveD/codes_breaker_project/CA_sv/CWE614_pyramid-set-cookie-secure-unsafe-value_sv5/CWE614_pyramid-set-cookie-secure-unsafe-value_VULN_3.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE614_pyramid-set-cookie-secure-unsafe-value.txt | VULN_4 | /driveD/codes_breaker_project/CA_sv/CWE614_pyramid-set-cookie-secure-unsafe-value_sv5/CWE614_pyramid-set-cookie-secure-unsafe-value_VULN_4.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE614_pyramid-set-cookie-secure-unsafe-value.txt | VULN_5 | /driveD/codes_breaker_project/CA_sv/CWE614_pyramid-set-cookie-secure-unsafe-value_sv5/CWE614_pyramid-set-cookie-secure-unsafe-value_VULN_5.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value.txt | SAFE | /driveD/codes_breaker_project/CA_sv/CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_sv5/CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_SAFE.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value.txt | VULN_1 | /driveD/codes_breaker_project/CA_sv/CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_sv5/CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_VULN_1.txt | 0.6605 | 0 | 0 | 0.3395
/driveD/codes_breaker_project/CA/CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value.txt | VULN_2 | /driveD/codes_breaker_project/CA_sv/CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_sv5/CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_VULN_2.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value.txt | VULN_3 | /driveD/codes_breaker_project/CA_sv/CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_sv5/CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_VULN_3.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value.txt | VULN_4 | /driveD/codes_breaker_project/CA_sv/CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_sv5/CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_VULN_4.txt | 0.6544 | 0 | 0 | 0.3456
/driveD/codes_breaker_project/CA/CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value.txt | VULN_5 | /driveD/codes_breaker_project/CA_sv/CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_sv5/CWE1004_pyramid-authtkt-cookie-httponly-unsafe-value_VULN_5.txt | 0.6544 | 0 | 0 | 0.3456
