Safe File	Obfu File	AST Distance	Conceptual Similarity	Fitness	Pass Rate	Score Value	fuzzy_attack_value	fuzzy_attack_label
CWE502_marshal-usage_SAFE3.txt	CWE502_marshal-usage_obfu.txt	0.3480	0.6144	0.6520	1.0	0.63320	0.5572429940840556	Moderate
CWE502_marshal-usage_SAFE4.txt	CWE502_marshal-usage_obfu.txt	0.4270	0.5761	0.5730	1.0	0.57455	0.55	Moderate
CWE502_marshal-usage_SAFE5.txt	CWE502_marshal-usage_obfu.txt	0.3324	0.6657	0.6676	1.0	0.66665	0.6106853972690576	Moderate
CWE668_avoid_using_app_run_directly_SAFE1.txt	CWE668_avoid_using_app_run_directly_obfu.txt	0.4589	0.4799	0.5411	1.0	0.51050	0.5500000000000002	Moderate
CWE668_avoid_using_app_run_directly_SAFE2.txt	CWE668_avoid_using_app_run_directly_obfu.txt	0.4589	0.4799	0.5411	1.0	0.51050	0.5500000000000002	Moderate
CWE668_avoid_using_app_run_directly_SAFE3.txt	CWE668_avoid_using_app_run_directly_obfu.txt	0.4443	0.4518	0.5557	1.0	0.50375	0.5500000000000002	Moderate
CWE668_avoid_using_app_run_directly_SAFE4.txt	CWE668_avoid_using_app_run_directly_obfu.txt	0.2346	0.6704	0.7654	1.0	0.71790	0.86074590933027	Strong
CWE668_avoid_using_app_run_directly_SAFE5.txt	CWE668_avoid_using_app_run_directly_obfu.txt	0.5792	0.3608	0.4208	1.0	0.39080	0.38776948100750463	Moderate
CWE79_direct-use-of-jinja2_SAFE1.txt	CWE79_direct-use-of-jinja2_obfu.txt	0.1928	0.8544	0.8072	1.0	0.83080	0.8833333333333333	Strong
CWE79_direct-use-of-jinja2_SAFE2.txt	CWE79_direct-use-of-jinja2_obfu.txt	0.3823	0.6023	0.6177	1.0	0.61000	0.55	Moderate
CWE79_direct-use-of-jinja2_SAFE3.txt	CWE79_direct-use-of-jinja2_obfu.txt	0.1928	0.8544	0.8072	1.0	0.83080	0.8833333333333333	Strong
CWE79_direct-use-of-jinja2_SAFE4.txt	CWE79_direct-use-of-jinja2_obfu.txt	0.1965	0.8185	0.8035	1.0	0.81100	0.8833333333333333	Strong
